字段,含义
SK_ID_CURR,此次申请的ID
TARGET,申请人本次申请的还款风险：1-风险较高；0-风险较低
NAME_CONTRACT_TYPE,贷款类型：cash(现金)还是revolving(周转金，一次申请，多次循环提取)
CODE_GENDER,申请人性别
FLAG_OWN_CAR,申请人是否有车
FLAG_OWN_REALTY,申请人是否有房
CNT_CHILDREN,申请人子女个数
AMT_INCOME_TOTAL,申请人收入状况
AMT_CREDIT,此次申请的贷款金额
AMT_ANNUITY,贷款年金
AMT_GOODS_PRICE,如果是消费贷款，改字段表示商品的实际价格
NAME_TYPE_SUITE,申请人此次申请的陪同人员
NAME_INCOME_TYPE,申请人收入类型
NAME_EDUCATION_TYPE,申请人受教育程度
NAME_FAMILY_STATUS,申请人婚姻状况
NAME_HOUSING_TYPE,申请人居住状况（租房，已购房，和父母一起住等）
REGION_POPULATION_RELATIVE,申请人居住地人口密度，已标准化
DAYS_BIRTH,申请人出生日（距离申请当日的天数，负值）
DAYS_EMPLOYED,申请人当前工作的工作年限（距离申请当日的天数，负值）
DAYS_REGISTRATION,申请人最近一次修改注册信息的时间（距离申请当日的天数，负值）
DAYS_ID_PUBLISH,申请人最近一次修改申请贷款的身份证明文件的时间（距离申请当日的天数，负值）
FLAG_MOBIL,申请人是否提供个人电话（1-yes，0-no）
FLAG_EMP_PHONE,申请人是否提供家庭电话（1-yes，0-no）
FLAG_WORK_PHONE,申请人是否提供工作电话（1-yes，0-no）
FLAG_CONT_MOBILE,申请人个人电话是否能拨通（1-yes，0-no）
FLAG_EMAIL,申请人是否提供电子邮箱（1-yes，0-no）
OCCUPATION_TYPE,申请人职务
REGION_RATING_CLIENT,"本公司对申请人居住区域的评分等级（1,2,3）"
REGION_RATING_CLIENT_W_CITY,"在考虑所在城市的情况下，本公司对申请人居住区域的评分等级（1,2,3）"
WEEKDAY_APPR_PROCESS_START,申请人发起申请日是星期几
HOUR_APPR_PROCESS_START,申请人发起申请的hour
REG_REGION_NOT_LIVE_REGION,申请人提供的的永久地址和联系地址是否匹配（1-不匹配，2-匹配，区域级别的）
REG_REGION_NOT_WORK_REGION,申请人提供的的永久地址和工作地址是否匹配（1-不匹配，2-匹配，区域级别的）
LIVE_REGION_NOT_WORK_REGION,申请人提供的的联系地址和工作地址是否匹配（1-不匹配，2-匹配，区域级别的）
REG_CITY_NOT_LIVE_CITY,申请人提供的的永久地址和联系地址是否匹配（1-不匹配，2-匹配，城市级别的）
REG_CITY_NOT_WORK_CITY,申请人提供的的永久地址和工作地址是否匹配（1-不匹配，2-匹配，城市级别的）
LIVE_CITY_NOT_WORK_CITY,申请人提供的的联系地址和工作地址是否匹配（1-不匹配，2-匹配，城市级别的）
ORGANIZATION_TYPE,申请人工作所属组织类型
EXT_SOURCE_1,外部数据源1的标准化评分
EXT_SOURCE_2,外部数据源2的标准化评分
EXT_SOURCE_3,外部数据源3的标准化评分
APARTMENTS_AVG <----> EMERGENCYSTATE_MODE,申请人居住环境各项指标的标准化评分
OBS_30_CNT_SOCIAL_CIRC LE <----> DEF_60_CNT_SOCIAL_CIRCLE,这部分字段含义没看懂
DAYS_LAST_PHONE_CHANGE,申请人最近一次修改手机号码的时间（距离申请当日的天数，负值）
FLAG_DOCUMENT_2 <----> FLAG_DOCUMENT_21,"申请人是否额外提供了文件2,3,4. . .21"
AMT_REQ_CREDIT_BUREAU_HOUR,申请人发起申请前1个小时以内，被查询征信的次数
AMT_REQ_CREDIT_BUREAU_DAY,申请人发起申请前一天以内，被查询征信的次数
AMT_REQ_CREDIT_BUREAU_WEEK,申请人发起申请前一周以内，被查询征信的次数
AMT_REQ_CREDIT_BUREAU_MONTH,申请人发起申请前一个月以内，被查询征信的次数
AMT_REQ_CREDIT_BUREAU_QRT,申请人发起申请前一个季度以内，被查询征信的次数
AMT_REQ_CREDIT_BUREAU_YEAR,申请人发起申请前一年以内，被查询征信的次数
